annotated_term,broad_category
万寿菩萨院,佛道信仰
万岁楼,异域物产
丈室,佛道信仰
上东门,建筑寺塔
上人,佛道信仰
上座璘公院,佛道信仰
上清,佛道信仰
上解,丧葬冥界
上都青龙寺,建筑寺塔
下司马,动物
不二,佛道信仰
不畏寒,动物
不空三藏塔,建筑寺塔
不语怪力事,神怪妖魅
与宣律和尚相接,佛道信仰
与秦王卒相遇,人物政事
东华童子青木香,异域物产
东壁古培下,建筑寺塔
东平,异域物产
东平未用兵,异域物产
东方朔,异域物产
东林,佛道信仰
东海大鱼,异域物产
东牟,异域物产
东都尊贤坊田令宅,梦兆占验
东都龙门,异域物产
丞相张魏公延赏,异域物产
中严,动物
中书舍人殷炅,人物政事
中星宿品,梦兆占验
临川郡,异域物产
临邑县,异域物产
主客王克,异域物产
主客贺季,植物
主急兵,梦兆占验
丽龟,动物
义熙十二年,异域物产
乌仗那国,佛道信仰
乌头,动物
乐游苑,异域物产
乘鹅殿,建筑寺塔
乾陵,丧葬冥界
事袄神,异域物产
于太岁上掘坑,梦兆占验
于阗,异域物产
井口边草,植物
井鱼,异域物产
交午柱,植物
亦出波斯国,异域物产
京兆,梦兆占验
京西持国寺,异域物产
人境,梦兆占验
人木,异域物产
人腊,丧葬冥界
仁寿,人物政事
仙人条,异人方术
仙树,异人方术
代宗,动物
代川,异域物产
伍相庙,异域物产
伏罪云,植物
伏苓,植物
会昌,人物政事
会昌二年寒食日,异域物产
会要卷四八寺,建筑寺塔
传说,丧葬冥界
伯奇食梦,动物
伽阇那国,异域物产
但马,动物
余甘,植物
佛地,佛道信仰
使令,植物
使守门,建筑寺塔
使院,异域物产
供养品中,植物
供帐,异域物产
依簷映昔耶,植物
促装,梦兆占验
俗流,异域物产
修行里,建筑寺塔
俱位国,异域物产
偏坐,建筑寺塔
健儿,异域物产
傅岩,异域物产
僧伽,佛道信仰
僧俨,建筑寺塔
僧那,佛道信仰
僧非出院僧,佛道信仰
元中书载,人物政事
元和,人物政事
兄戍辽阳,器物技艺
先天菩萨帧,佛道信仰
先泰山老师,异人方术
光宅坊光宅寺,佛道信仰
光明寺,建筑寺塔
兔丝子,动物
入笼,建筑寺塔
兰若,佛道信仰
兰陵里,建筑寺塔
兴元城固县,异域物产
兴元郑公,异域物产
兴唐寺,异域物产
兴善寺,建筑寺塔
兴州,异域物产
其色如莲,佛道信仰
典客令,建筑寺塔
冀县,异域物产
内库,人物政事
内棺加盖,丧葬冥界
农皇,植物
冥司,丧葬冥界
冷冷,饮食医药
净阳,异域物产
凌霄,植物
凤声木,动物
凤雄鸣节节,动物
出波斯国,异域物产
出降,人物政事
击鞠杖,动物
刁斗,植物
切经音义卷一二,饮食医药
切经音义卷二七,饮食医药
刘孔才,人物政事
刘孝标,异域物产
刘铢传,动物
则天,异域物产
判官,礼俗制度
利涉塑堂,佛道信仰
刺安成,异域物产
刺柏,植物
刻房七道,植物
削杖,植物
劳山,异人方术
勃樊州,异域物产
勃逻回,动物
北斗魁,梦兆占验
北方婚礼,建筑寺塔
千人捏,异域物产
千柱殿,建筑寺塔
千辐轮殿,动物
升太极,异人方术
华不注泉,异域物产
华严藏世界,佛道信仰
华山,异域物产
华阳雷平山,异域物产
华阴县,异人方术
南内,建筑寺塔
南山披时寒夜中,建筑寺塔
南燕太上时,人物政事
南蛮有毒槊,异域物产
南蛮记,礼俗制度
博海,异域物产
卢县东有金榆山,异域物产
卢鸿,人物政事
卫国县,异域物产
印鱼,异域物产
卷一一四代州,异域物产
卷三台城,异域物产
卷上论题肇,佛道信仰
历八十一国,异域物产
历城县,异域物产
参军,异域物产
参成,异人方术
参成芝,异人方术
又埤雅卷一八释草,植物
口生碓虫,动物
古注,人物政事
古画思匡岭,异人方术
句骊,异域物产
台城,异域物产
号叫地狱,丧葬冥界
叹佛,佛道信仰
合手,佛道信仰
合欢,动物
名子干,丧葬冥界
名释衣服,器物技艺
吐绶鸟,异域物产
含元殿,建筑寺塔
吴道玄,丧葬冥界
呗赞,佛道信仰
周官,动物
和龙,异域物产
咸而不减,器物技艺
咸阳宫,异域物产
唐本草,异域物产
善山岗,丧葬冥界
善色虫,动物
嗽金鸟,异域物产
器世,丧葬冥界
回毛在颈,动物
土人,人物政事
土鼓县,异域物产
地日草,异人方术
地狱一百三十六,丧葬冥界
地狱变,佛道信仰
地狱等活,丧葬冥界
地界,佛道信仰
地钱,植物
均州郧乡县,异域物产
坟起,丧葬冥界
垂露书,人物政事
城隍,建筑寺塔
壁鱼,动物
士淹,动物
复州,异域物产
夜光洞草,植物
大兴善寺,佛道信仰
大历,人物政事
大司坊云花寺,植物
大同坊云花寺,植物
大家,人物政事
大虫,动物
大虫皮,动物
天人,异人方术
天宝,人物政事
天宝实录,异域物产
天王,佛道信仰
天神下若流火,异人方术
天翁姓张,建筑寺塔
太和,人物政事
太宗虬须,丧葬冥界
太平,异域物产
太清,异人方术
太白入月,梦兆占验
太阴链形,丧葬冥界
失姓字,异域物产
奉天县,异域物产
奉释,佛道信仰
奠鴈,建筑寺塔
如傀儡戏有郭公者,植物
妻约,人物政事
威喜芝,异人方术
婆利国,异域物产
婆弥烂国,异域物产
婆那娑树,植物
孙获,动物
季主,动物
季伦金谷,异域物产
宁州沙中有折腰蜂,异域物产
宁王宪寝疾,丧葬冥界
宁王常猎于鄠县界,异域物产
宁生,丧葬冥界
守宫,动物
安仁西门,建筑寺塔
安北,异域物产
安息香树,异域物产
安石榴,异域物产
安西道,异域物产
安邑坊玄法寺,建筑寺塔
宗庙地中生赤木,植物
宗灵七非宫,建筑寺塔
官书,异人方术
官将并寺,佛道信仰
官掌舍,建筑寺塔
官掌节,礼俗制度
宝历,人物政事
宝台,建筑寺塔
宣城王文学萧恺,异域物产
宣律师,梦兆占验
宣阳坊净域寺,建筑寺塔
宣阳坊奉慈寺,建筑寺塔
家弟,礼俗制度
宿债,梦兆占验
宿根成树,植物
寒食,植物
寝殿,丧葬冥界
寻阳,异域物产
射棚上亦画鹿,器物技艺
尊像,佛道信仰
少师李相,异域物产
尔朱,异域物产
尔雅翼卷一七鹤,动物
尝称阿瞒,异域物产
就木,植物
尸毗王,丧葬冥界
尸解,丧葬冥界
尽书,动物
屋柱木无故生芝,植物
属宾国,异域物产
屯田韦郎中,梦兆占验
山人,动物
山人程宗乂,异域物产
山名祇记匡,佛道信仰
山萧,植物
山阴县,异域物产
崇义坊招福寺,建筑寺塔
崇仁坊资圣寺,佛道信仰
崇贤里,异域物产
崔承宠,动物
嵩山,异域物产
嵩山记称,植物
嶷山,异域物产
州牧,异域物产
巢于高树,植物
左军,动物
左行草,动物
巴陵有寺,佛道信仰
市人小说,人物政事
布衣一食,佛道信仰
帝江,异域物产
席葡,植物
常乐坊赵景公寺,建筑寺塔
常山北有草,植物
常州,异域物产
幞头,动物
干陁国,异域物产
平康坊菩提寺,建筑寺塔
幽章,异人方术
广宣上人,佛道信仰
庆云,梦兆占验
庐州,异域物产
应龙生建马,动物
底栏实,植物
庶子,建筑寺塔
康藏,佛道信仰
延陵季子庙,异域物产
延陵昔聘上国,异域物产
建州,异域物产
建武三十一年,人物政事
开元,人物政事
开元中,人物政事
开元礼,礼俗制度
开州,异域物产
开成,人物政事
引洞冥记,植物
引淮南万毕术,动物
张上客,异域物产
张曲江,异域物产
张燕公,梦兆占验
张芬,器物技艺
弥泥鱼,丧葬冥界
弥泥鱼旋,丧葬冥界
弧矢,器物技艺
形天与帝神,异域物产
往往杖竹,动物
徐州角城县,异域物产
徙升中岳,异域物产
忘机,佛道信仰
悬针书,人物政事
惟则,佛道信仰
惠眼,佛道信仰
惨澹,梦兆占验
愿新安志卷三歙县,佛道信仰
慈恩,建筑寺塔
慈恩寺,建筑寺塔
慈恩寺僧广升,建筑寺塔
戎葵,植物
戟门内,植物
房山,异域物产
房相,异域物产
所以慈悲六道,建筑寺塔
手板,礼俗制度
手簸,动物
扬州,异域物产
投五木琼桡玖骰,植物
护门草,异域物产
抱桧,动物
拂林,异域物产
拔汗那,异域物产
拘夷国,异域物产
拱手,礼俗制度
持锡,建筑寺塔
挟剑豆,礼俗制度
捺祇,佛道信仰
推步禁咒,梦兆占验
搦管,植物
摩伦,植物
摩伽陁国,异域物产
支许,佛道信仰
数丸,建筑寺塔
文帝七年,建筑寺塔
斋心,建筑寺塔
斗薮,植物
新妇乘鞍,动物
新妇子,异域物产
方外趣,佛道信仰
方欲馆谷,梦兆占验
方相氏敺罔象,礼俗制度
旃檀,植物
旃檀像,佛道信仰
无中阴,丧葬冥界
无影山,建筑寺塔
无忧王,异域物产
无石子,植物
无间,丧葬冥界
日乌,异人方术
日南,异域物产
日照三藏,人物政事
旧傩词,动物
旧唐书地理志一,异域物产
时恽往杨州,异域物产
昆吾国,异域物产
昆明国,异域物产
昆明池,异域物产
明利天,佛道信仰
明堂,建筑寺塔
明州,异域物产
明辰耐犯宫,建筑寺塔
昭义,异域物产
昭国东门郑相,建筑寺塔
昭明太子,人物政事
显祖,饮食医药
晋祠,异域物产
晨兴,梦兆占验
普寂,异域物产
普贤,佛道信仰
普贤地,佛道信仰
景公寺,建筑寺塔
景明,人物政事
景本草集注,植物
曹丕著论于火布,异域物产
月八日,佛道信仰
月生子,异域物产
月节,植物
有蟾蜍,动物
服禅,礼俗制度
朗法师,佛道信仰
望舒草,植物
望苑驿,异域物产
木主,植物
木五香,植物
木再花,植物
木部,植物
木饮州,异域物产
木鸡木雀鹢,动物
本草,植物
朱陵洞,异人方术
杂俎,佛道信仰
李严,异域物产
李子长,植物
李洪山人善符箓,植物
李贤注,植物
杜荆州告财,异域物产
杨倞注,动物
杨子,异域物产
柏成,梦兆占验
柽诗大雅皇矣,异域物产
桃人茅马,动物
梁主客王克,建筑寺塔
梁元帝易连山,建筑寺塔
梁刘孝仪食鲭鲊,异域物产
梁州西县,异域物产
梁简文帝,人物政事
梁简文延香园,人物政事
梦草,植物
梵僧,佛道信仰
楚哀王,梦兆占验
楚国寺,建筑寺塔
楚州,异域物产
楼罗,建筑寺塔
榆关有蚜蚜虫,异域物产
樗蒲塞行,植物
欝栖,动物
正念皈依,佛道信仰
武卫斛律丰乐,异域物产
武昌王子义,异域物产
段师,佛道信仰
每语腹中辄响,异域物产
毕罗,异域物产
毗尸沙花,植物
毗沙门,佛道信仰
毗沙门天王,佛道信仰
水三,异域物产
水网藻,植物
水虫,异域物产
水陆,异域物产
水韭,植物
永乐东街,建筑寺塔
永安坊永寿寺,异域物产
汉高祖入咸阳宫,建筑寺塔
汝州,异域物产
江南无狼马,异域物产
江西,异域物产
汤师,佛道信仰
汴州,异域物产
汾州,异域物产
沉香,异域物产
沙弥,佛道信仰
沙门,佛道信仰
沙门宝志,建筑寺塔
沙门杯渡,异域物产
没树,异域物产
河南少尹韦绚,异域物产
河满子,异域物产
河阳,异域物产
油画食藏,佛道信仰
波斯,异域物产
波斯枣,异域物产
泰煞谅事宫,建筑寺塔
泸醁酒,异域物产
泾州,异域物产
洛东有宅,建筑寺塔
洛迦,丧葬冥界
洛鲤伊鲂,建筑寺塔
洞天六宫,建筑寺塔
洲号唯思沃,佛道信仰
济南郡,异域物产
济南郡有方山,异域物产
浮图,佛道信仰
浮沤钉,动物
消灾经,佛道信仰
渌肉酸脏,动物
滑州,异域物产
滕王图,丧葬冥界
火祆,异域物产
灵华泛腴薰陆香,异域物产
灵山,异域物产
炉火,异人方术
炎山夜日,饮食医药
燃石,异域物产
燋热地狱,丧葬冥界
燕世,异域物产
燕公,人物政事
牙生花,植物
牡蛎,异域物产
牢西,梦兆占验
牧靡,异域物产
狐媚,异域物产
狐疑犹预,动物
狱中臭气,丧葬冥界
猪槽饲马,动物
猪檝,植物
玄奘,异域物产
玄宗,丧葬冥界
玄注云,建筑寺塔
玉门军,异域物产
王右丞兄弟,异域物产
王天运,器物技艺
王子年拾遗记,异域物产
王屋,异域物产
王彦威尚书在汴州,异域物产
王昭隐,建筑寺塔
王莽,人物政事
环获焉,动物
珠毛,植物
班剑,植物
琅琊,梦兆占验
甘露门,建筑寺塔
生人发挂菓树,动物
生口,异域物产
生朱衣,礼俗制度
生牧靡草,植物
生神丹方,植物
生邕容问,异域物产
田衣从坏塍,佛道信仰
甲子神,梦兆占验
病疮于首,丧葬冥界
登封,礼俗制度
白单衣,建筑寺塔
白峒,器物技艺
白州,异域物产
白日尸解自是仙,异人方术
白符芝,异人方术
白虎通,动物
白道,异域物产
白马,异域物产
白鸟咕嘬,丧葬冥界
百劳,梦兆占验
百合花,植物
皮肉如脂,佛道信仰
盆甑草,异域物产
监军院,佛道信仰
监舍,动物
相传伯奇所化,异域物产
相国寺,异域物产
省注,异域物产
省试风过箫赋,异人方术
真腊国,异域物产
睿宗,人物政事
瞋心坏一切善,建筑寺塔
知回易,异域物产
短狐,动物
石人,异域物产
石墨,异域物产
石斑鱼,异域物产
石栏干,植物
石漆,异域物产
石莲,植物
礼骨仙人,佛道信仰
社中朋,建筑寺塔
祇园寺,建筑寺塔
神尧皇帝射孔雀处,人物政事
秀才顾非熊,异域物产
私诃条国,异域物产
科斗,建筑寺塔
科斗尾脱则足生,动物
科藤,异域物产
积崖山,动物
积草池,植物
穆陵,异域物产
空王,佛道信仰
穿蠹,动物
窟莽,异域物产
竹肉,植物
笔囊,建筑寺塔
笼上牢丸,饮食医药
等注,异域物产
筋竹,植物
粟奴,植物
素和尚,佛道信仰
索隐,梦兆占验
索饼,饮食医药
紫极宫,建筑寺塔
紫矿,植物
紫鑛,异域物产
红楼,建筑寺塔
红草,植物
红蓝,植物
纣绝阴天宫,建筑寺塔
纲维,佛道信仰
细鸟,动物
终南,异域物产
终南山,异域物产
终岁无鸟,动物
罗酆山,建筑寺塔
羊叔子事,异域物产
群从,礼俗制度
翟干祐,异人方术
翟泉,异域物产
翼卷一二若榴,异域物产
老君西越流沙,异人方术
肃宗,人物政事
肄业,器物技艺
肋编卷中,人物政事
胁有二园,植物
背明鸟,动物
胡蔓草,异域物产
胡鹿,植物
能上树,动物
自弹碁,异人方术
自泰山回,异人方术
舍人,人物政事
舍利佛角而转睐,佛道信仰
舜山,异域物产
舞草,动物
良常山,异域物产
色界天下石,佛道信仰
节目,植物
花池,植物
苌苓,植物
苏州,异域物产
苏州折腰菱,异域物产
苏湖间,异域物产
苏秦金,建筑寺塔
苏膏,植物
苏都瑟匿国,异域物产
若达,植物
茄子浦,异域物产
茎干黄白,佛道信仰
荆州,异域物产
荆州掾属双陆,异域物产
草草,植物
草蓐,植物
荜拨,异人方术
莎衣结治蜡螋疮,植物
莱子国,异域物产
菌芝,异人方术
菩提树,佛道信仰
葛稚川,人物政事
蓍龟,动物
蔓胡桃,异域物产
蔽膝,器物技艺
蕲州,异域物产
薄霄激雨,动物
薰陆香,异域物产
藏钩起于钩弋,丧葬冥界
藤纸,植物
虎口,动物
虎威,动物
虎窟山,异域物产
虾蟆护,动物
蚍蜉酒草,佛道信仰
蚓属却行,礼俗制度
蛄蜣,动物
蛇医,动物
蛾眉不肯让人,器物技艺
蜻蜓树,佛道信仰
螵蛸,动物
蟾蜍矢,动物
裕兴超灭,异域物产
襄州,异域物产
西域苍荷花,植物
西域记,异域物产
西屠,异域物产
西市悲田坊,佛道信仰
西那玉国郁察山,梦兆占验
覆翻及尾毛,器物技艺
观自在像,佛道信仰
观音,佛道信仰
观鱼于西宫,动物
规看月张,器物技艺
角生死,梦兆占验
训胡,异域物产
许旌阳,异域物产
论当鬼薪,礼俗制度
论黄陵碑二女,异域物产
诗云,佛道信仰
诘旦,异域物产
诜禅师,人物政事
谙真马,动物
谢康乐集,异域物产
谢豹鸟,动物
豆房,佛道信仰
貌寝,梦兆占验
贝多,丧葬冥界
贝多树下思惟经,植物
贞元,人物政事
贞元中李真画,植物
贞观中,动物
负桑虫,动物
贵妃,异域物产
赐侍臣彩花树,植物
赤箭,植物
起根虫,动物
足乌,梦兆占验
跰跖,饮食医药
踏影叠,动物
蹙融,饮食医药
身神及诸神名异者,动物
身色如拘勿头花,植物
身虫,动物
轮理,佛道信仰
轮鼠,动物
辟邪树,异域物产
辽城东有镇甲,异域物产
达疏,动物
运斤,植物
还俗,丧葬冥界
还往,礼俗制度
迦留波陁天,建筑寺塔
通脱木,植物
遂于郓州,异域物产
道人,佛道信仰
道政坊宝应寺,建筑寺塔
遮咤迦鸟,异人方术
邕州,异域物产
邠州,异域物产
邢和璞尝谓尹愔,佛道信仰
那兰陁寺,佛道信仰
那揭罗曷国,佛道信仰
郁单越,异域物产
郁栖,动物
郎君,梦兆占验
郑思远,人物政事
郑氏所记,异域物产
郑相庆余在梁州,异域物产
郑纲相公,异域物产
郡功曹,异域物产
部杂家类,异域物产
郭令,异域物产
郭暧驸马,动物
郭璞注,动物
都亭驿有魏贞,人物政事
释僧祇律,佛道信仰
释氏书,佛道信仰
释道钦住径山,异域物产
释鸟,动物
重云殿,建筑寺塔
重谯,建筑寺塔
野悉蜜,丧葬冥界
野狐丝,植物
金刚,佛道信仰
金刚虫,丧葬冥界
金天神,礼俗制度
金流河,建筑寺塔
金灯,植物
金钱花,丧葬冥界
铁马,丧葬冥界
铜匙草,植物
铜鎗,异域物产
铜马,佛道信仰
铭旌,异域物产
错鱼,异域物产
锡或称王粲,异域物产
镜山,异域物产
长乐坊安国寺,建筑寺塔
长乐坡,异域物产
长乐里,建筑寺塔
长庆,人物政事
长生花,植物
长白山,异人方术
长陵,丧葬冥界
门分别,建筑寺塔
门第十,丧葬冥界
阐提墨尿,佛道信仰
阳杂俎云,动物
阳狂,礼俗制度
阿勃参,动物
阿含经,佛道信仰
阿末香,异域物产
阿爷茶国,佛道信仰
阿鼻,丧葬冥界
陈仓人猎得兽,异域物产
陈宣帝,人物政事
陈州,异域物产
陛下,建筑寺塔
陟屺寺,异域物产
陵州,异域物产
陶偘,异域物产
陶胜力,人物政事
陶贞白,人物政事
陶隐居,人物政事
隐侯,人物政事
隐侯体,异域物产
隐辰芝,植物
雅州,异域物产
集贤,异人方术
雊鹆,梦兆占验
雏生而有惠,动物
雷蜞,植物
青乌公,异人方术
青城山,异域物产
青折鬓发,礼俗制度
青鹅,动物
靖善坊大兴善寺,建筑寺塔
靖恭坊,建筑寺塔
面衣,动物
鞔革,礼俗制度
韦南康,梦兆占验
韩仆射犹子,梦兆占验
韩晋公,梦兆占验
韩饮在桂州,植物
音唯一性,佛道信仰
颇梨,植物
颠当,动物
风气,动物
风羽,异域物产
飞天夜叉,饮食医药
食疗本草,植物
香狸,植物
马仆射,异域物产
马伏波,动物
马侍中,异域物产
马勃,动物
马合乡侯,动物
马嵬,异域物产
马酪,异域物产
驰牛,动物
驸马,动物
骊山,丧葬冥界
骏声通训定声云,礼俗制度
骨利干国,异域物产
髑髅,动物
高句丽百济,异域物产
高唐县,异域物产
高奴县,异域物产
高祖,人物政事
鬼车鸟,动物
魂衣,器物技艺
魏仆射收临代,异域物产
魏任城王,人物政事
魏尉瑾,人物政事
魏明帝起凌云台,动物
魔天,建筑寺塔
鱼子变,异域物产
鲍容,人物政事
鲛鱼,异域物产
鲤鱼,动物
鳍鱼,动物
鳜鱼,动物
鷃烂堆黄,动物
鸟头,异域物产
鸡舌,动物
鸡雕,异域物产
鸧色,动物
鸬鹚吐鷃尔雅释鸟,动物
鸭舌草,植物
鸱鹊,动物
鸷鸟,动物
鹊巢中必有梁,动物
鹤井,动物
鹤兵爪,动物
鹿苑,佛道信仰
麦罗遮,异域物产
黄杨木,植物
黄白术,异人方术
黑绳,丧葬冥界
默存,建筑寺塔
齐公妓小小,异域物产
齐博陵君豹,人物政事
齐王高纬,人物政事
齐瞰树,植物
齐郡函山,异域物产
龙城,异域物产
龙居北山,异域物产
龙树,佛道信仰
龙脑香树,异域物产
龙节也,人物政事
龙阳县,异域物产
龟策列传,动物
