level1_subject,level2_subject,appearance_count
马,马,77
鱼,鱼,66
龙,龙,60
酒,酒,49
虫,虫,45
寺,寺,39
李,李,39
观,观,31
鬼,鬼,31
竹,竹,29
药,药,29
蛇,蛇,29
梦,梦,27
仙,仙,26
盘,盘,26
佛,佛,23
精,精,23
虎,虎,23
波斯,波斯,22
术,术,21
龟,龟,21
桃,桃,20
鼓,鼓,19
兔,兔,18
尸,尸,18
殿,殿,18
宫,宫,17
镜,镜,17
狐,狐,14
芝,芝,14
剑,剑,13
钟,钟,13
汤,汤,12
雕,雕,12
弓,弓,11
猪,猪,11
兆,兆,10
凤,凤,10
柳,柳,10
桑,桑,10
鞭,鞭,10
魅,魅,10
僧,僧,9
箭,箭,9
虾蟆,虾蟆,9
昆仑,昆仑,8
楼,楼,8
河伯,河伯,8
荆州,荆州,8
鹤,鹤,8
地狱,地狱,7
槐,槐,7
冥,冥,6
塔,塔,6
妖,妖,6
玄宗,玄宗,6
琴,琴,6
瑞,瑞,6
葬,葬,6
猿,猿,5
苑,苑,5
墓,墓,4
桂,桂,4
琵琶,琵琶,4
臛,臛,4
麒麟,麒麟,4
槟榔,槟榔,3
河阳,河阳,3
瓶,瓶,3
蜀,蜀,3
蜗,蜗,3
交趾,交趾,2
僧,僧一行,2
僧,僧笑,2
凌霄,凌霄,2
北斗魁,北斗魁,2
南中,南中,2
历城县,历城县,2
坟,坟,2
婚礼,婚礼,2
屏风,屏风,2
成式,成式,2
木兰,木兰,2
泉,泉,2
甲子神,甲子神,2
白唐,白唐,2
睿宗,睿宗,2
石人,石人,2
芰,芰,2
西王母,西王母,2
道士,道士,2
集贤,集贤,2
马仆射,马仆射,2
鹘,鹘,2
龙脑,龙脑,2
一行,一行,1
三白草,三白草,1
三蔬,三蔬,1
东平,东平,1
东都,东都,1
临川郡,临川郡,1
临邑县,临邑县,1
乌仗那国,乌仗那国,1
乌耗西,乌耗西,1
乌蓬,乌蓬,1
乌贼,乌贼,1
二十八宿,二十八宿,1
云安井,云安井,1
五木,五木,1
井,井,1
井鱼,井鱼,1
京宣平坊,京宣平坊,1
京西持国寺,京西持国寺,1
人木,人木,1
人腊,人腊,1
人足,人足,1
仙人枣,仙人枣,1
仙树,仙树,1
仙桃,仙桃,1
仙药,仙药,1
伊尹干汤,伊尹干汤,1
伍相奴,伍相奴,1
伏苓,伏苓,1
众,众,1
侯骚,侯骚,1
偏桃,偏桃,1
僧,僧不空,1
僧,僧义林,1
僧,僧寄宿,1
僧,僧广升,1
僧,僧惠恪,1
僧,僧拨户而进,1
僧,僧持咒,1
僧,僧指路谓,1
僧,僧提婆,1
僧,僧智圆,1
僧,僧清简,1
僧,僧熟地,1
僧,僧玄奘,1
僧,僧祗律,1
僧,僧行儒,1
僧,僧见,1
僧,僧誓,1
僧,僧说,1
僧,僧超,1
僧,僧迎门引接,1
僧,僧那照,1
僧,僧金刚三昧,1
僧,僧院,1
僧,僧难陀,1
僧,僧首素,1
兔丝子,兔丝子,1
兜兜鸟,兜兜鸟,1
八寒地狱,八寒地狱,1
兴唐寺,兴唐寺,1
冬瓜,冬瓜,1
冷蛇,冷蛇,1
刘元鼎,刘元鼎,1
刘积中,刘积中,1
则天,则天,1
北天健驮罗国,北天健驮罗国,1
北朝妇人,北朝妇人,1
北朝婚礼,北朝婚礼,1
北虏之先索国,北虏之先索国,1
千人捏,千人捏,1
千辐轮殿,千辐轮殿,1
半汤湖,半汤湖,1
华不注泉,华不注泉,1
南巨川,南巨川,1
南朝,南朝,1
卢县东,卢县东,1
卢城之东,卢城之东,1
卫国县,卫国县,1
印鱼,印鱼,1
历城北,历城北,1
历城县光政寺,历城县光政寺,1
厌鼠法,厌鼠法,1
取鹰法,取鹰法,1
口脂,口脂,1
古锅,古锅,1
古龟兹国,古龟兹国,1
句曲山五芝,句曲山五芝,1
史论,史论,1
史论作,史论作,1
号叫地狱,号叫地狱,1
吐绶鸟,吐绶鸟,1
君王盐,君王盐,1
吴公,吴公,1
吸筒,吸筒,1
周官,周官,1
和州刘录,和州刘录,1
咸阳宫中,咸阳宫中,1
善苑国,善苑国,1
嗽金鸟,嗽金鸟,1
四种乐,四种乐,1
国初,国初,1
图藉,图藉,1
土槟榔,土槟榔,1
地日草,地日草,1
地钱,地钱,1
均州勋乡县,均州勋乡县,1
壁影,壁影,1
壁鱼,壁鱼,1
夏启,夏启,1
夜行,夜行,1
女娲,女娲,1
妒妇津,妒妇津,1
姜楚公常,姜楚公常,1
威远军小,威远军小,1
娑罗,娑罗,1
婆弥烂国,婆弥烂国,1
婆那娑树,婆那娑树,1
孔雀,孔雀,1
孙思邈尝,孙思邈尝,1
孝亿国,孝亿国,1
宁王,宁王,1
安丰县,安丰县,1
安息香树,安息香树,1
安禄山,安禄山,1
寄居,寄居,1
尝梦,尝梦,1
山气多男,山气多男,1
山萧,山萧,1
岢岚鸟,岢岚鸟,1
峡中俗,峡中俗,1
崔承宠,崔承宠,1
崔玄亮,崔玄亮,1
左行草,左行草,1
师子,师子,1
帝女子泽,帝女子泽,1
干陀国头河,干陀国头河,1
干陀国昔,干陀国昔,1
平原县,平原县,1
平原郡,平原郡,1
并序,并序,1
庆云,庆云,1
庐山,庐山,1
庐江县,庐江县,1
度古,度古,1
庾信作诗,庾信作诗,1
异字,异字,1
异木,异木,1
异果,异果,1
异树,异树,1
异菌,异菌,1
异蒿,异蒿,1
异虫,异虫,1
异蜂,异蜂,1
异鱼,异鱼,1
异鸟,异鸟,1
张芬,张芬,1
张芬曾,张芬曾,1
张魏公,张魏公,1
律,律,1
息土人美,息土人美,1
慈恩,慈恩,1
慈恩寺,慈恩寺,1
慈竹,慈竹,1
成式三,成式三,1
成式以,成式以,1
成式门,成式门,1
或,或,1
手板,手板,1
扬州,扬州,1
扶桑,扶桑,1
承受石,承受石,1
折粟米法,折粟米法,1
护门草,护门草,1
拔汗那,拔汗那,1
拥剑,拥剑,1
拨拔力国,拨拔力国,1
挟剑豆,挟剑豆,1
掌中芥,掌中芥,1
数丸,数丸,1
方诸山,方诸山,1
旃檀,旃檀,1
旃檀鼓,旃檀鼓,1
昆仑之墟,昆仑之墟,1
昆吾国,昆吾国,1
明皇封禅泰山,明皇封禅泰山,1
晋令,晋令,1
晋朱桓,晋朱桓,1
晋许旌阳,晋许旌阳,1
晋隆安中,晋隆安中,1
月中,月中,1
望舒草,望舒草,1
木五香,木五香,1
木仆,木仆,1
木囚,木囚,1
木字,木字,1
木瓜,木瓜,1
木简,木简,1
木耳夷,木耳夷,1
李叔詹,李叔詹,1
李墉,李墉,1
李夷简,李夷简,1
李师古治山,李师古治山,1
李廓,李廓,1
李彦佐,李彦佐,1
李洪山人,李洪山人,1
李白名播海,李白名播海,1
杜鹃,杜鹃,1
杨虞卿,杨虞卿,1
松,松,1
松桢,松桢,1
构,构,1
柳芳,柳芳,1
柴蒿,柴蒿,1
柿,柿,1
栀子,栀子,1
桃核,桃核,1
梁,梁,1
梁宴魏使,梁宴魏使,1
梁朝杂律,梁朝杂律,1
梁正旦,梁正旦,1
梁简文帝,梁简文帝,1
梁遣黄门,梁遣黄门,1
梦草,梦草,1
梨,梨,1
梵僧不空,梵僧不空,1
梵僧菩萨胜又,梵僧菩萨胜又,1
棘竹,棘竹,1
椒,椒,1
楚州界,楚州界,1
楷,楷,1
樟木,樟木,1
武攸绪,武攸绪,1
毒槊,毒槊,1
毒蜂,毒蜂,1
毗尸沙花,毗尸沙花,1
水网藻,水网藻,1
水耐冬,水耐冬,1
水虫,水虫,1
水蛆,水蛆,1
水韭,水韭,1
汉仪,汉仪,1
汉帝杏,汉帝杏,1
汉木,汉木,1
汉竹宫,汉竹宫,1
汉高祖,汉高祖,1
江淮中唐山,江淮中唐山,1
江西,江西,1
没树,没树,1
油点草,油点草,1
波斯属国,波斯属国,1
波斯枣,波斯枣,1
波斯皂荚,波斯皂荚,1
清珠,清珠,1
温泉中鱼,温泉中鱼,1
灶神名隗,灶神名隗,1
灶马,灶马,1
炎帝甲,炎帝甲,1
焦米,焦米,1
燃石,燃石,1
燕,燕,1
燕公,燕公,1
牛,牛,1
牛黄,牛黄,1
牡丹,牡丹,1
牡蛎,牡蛎,1
牧靡,牧靡,1
犬吉犬屈,犬吉犬屈,1
狒狒,狒狒,1
独孤叔牙,独孤叔牙,1
狼,狼,1
獠,獠,1
玄宗又尝,玄宗又尝,1
玄宗学,玄宗学,1
玄宗幸蜀,玄宗幸蜀,1
玄金,玄金,1
玉桃,玉桃,1
玉龙,玉龙,1
王勃每,王勃每,1
王潜,王潜,1
玳瑁,玳瑁,1
珊瑚,珊瑚,1
瓜,瓜,1
瓦松,瓦松,1
瓷碗,瓷碗,1
甑花,甑花,1
甘子,甘子,1
田僧超,田僧超,1
田公泉,田公泉,1
甲,甲,1
畜生,畜生,1
白兔鹰,白兔鹰,1
白柰,白柰,1
白蜂窠,白蜂窠,1
白豆蔻,白豆蔻,1
白鸽,白鸽,1
白鹊,白鹊,1
百体中,百体中,1
百劳,百劳,1
百叶竹,百叶竹,1
百姓间,百姓间,1
盆甑草,盆甑草,1
盐,盐,1
真人,真人位,1
睡莲,睡莲,1
矛,矛,1
石墨,石墨,1
石柱,石柱,1
石栏干,石栏干,1
石榴,石榴,1
石漆,石漆,1
石班鱼,石班鱼,1
石阜石,石阜石,1
石靴,石靴,1
石驼溺,石驼溺,1
石鼍,石鼍,1
石鼓,石鼓,1
碎车虫,碎车虫,1
碑龟,碑龟,1
神厨,神厨,1
神草,神草,1
禅师玄览住荆州,禅师玄览住荆州,1
秦叔宝所乘马,秦叔宝所乘马,1
秦镜,秦镜,1
突厥之先,突厥之先,1
突厥事袄神,突厥事袄神,1
竹肉,竹肉,1
竹蜜蜂,竹蜜蜂,1
筋竹,筋竹,1
篊,篊,1
系臂,系臂,1
紫金非树,紫金非树,1
红沫,红沫,1
红草,红草,1
细鸟,细鸟,1
罪簿,罪簿,1
羊头鱼,羊头鱼,1
羽嘉,羽嘉,1
老君母,老君母,1
老鸦爪篱,老鸦爪篱,1
耶希,耶希,1
背明鸟,背明鸟,1
胡椒,胡椒,1
胡蔓草,胡蔓草,1
脂衣柰,脂衣柰,1
舍利,舍利,1
舜祠东,舜祠东,1
舞草,舞草,1
色界,色界,1
苏州,苏州,1
苏湛,苏湛,1
苏秦金,苏秦金,1
苏都识匿国,苏都识匿国,1
苔,苔,1
茄子,茄子,1
荆州贞元,荆州贞元,1
荜拨,荜拨,1
药草异号,药草异号,1
荷,荷,1
莲石,莲石,1
菘节鸟,菘节鸟,1
菡堕竹,菡堕竹,1
菩提树,菩提树,1
萤火芝,萤火芝,1
萧浣初,萧浣初,1
葛稚川,葛稚川,1
蒟蒻,蒟蒻,1
蒲萄,蒲萄,1
蓝蛇,蓝蛇,1
蔓胡桃,蔓胡桃,1
蔓金苔,蔓金苔,1
薛平司徒,薛平司徒,1
虎窟山,虎窟山,1
虞乡,虞乡,1
虞道施,虞道施,1
虮像,虮像,1
虱,虱,1
虾蟆护,虾蟆护,1
蚁,蚁,1
蚍蜉酒草,蚍蜉酒草,1
蚺蛇,蚺蛇,1
蛇碛,蛇碛,1
蛤梨,蛤梨,1
蜀医昝殷,蜀医昝殷,1
蜀葵,蜀葵,1
蜘蛛,蜘蛛,1
蜜草,蜜草,1
蝇,蝇,1
蝉,蝉,1
蝎,蝎,1
蝗,蝗,1
蝤蛑,蝤蛑,1
蝶,蝶,1
螺蚌,螺蚌,1
蠡荠,蠡荠,1
西域书,西域书,1
训胡,训胡,1
许卑山人,许卑山人,1
许超,许超,1
谢豹,谢豹,1
谯郡,谯郡,1
象,象,1
豫章船,豫章船,1
貊泽,貊泽,1
贝丘之南,贝丘之南,1
贝丘西,贝丘西,1
贝多,贝多,1
负子,负子,1
贼赵武建,贼赵武建,1
贾相,贾相,1
赐侍臣彩花树,赐侍臣彩花树,1
赤斑唐,赤斑唐,1
赤白柽,赤白柽,1
赤色,赤色,1
赵法和,赵法和,1
越人习水,越人习水,1
辟支佛靴,辟支佛靴,1
进士段硕,进士段硕,1
通脱木,通脱木,1
道士,道士一人,1
道士,道士友,1
道士,道士康紫霞,1
道士,道士王彦伯,1
道士,道士秦霞霁,1
道士,道士郭采真,1
道士,道士阳狂,1
避役,避役,1
邙山,邙山,1
那揭罗曷国,那揭罗曷国,1
郑云达,郑云达,1
郑仁,郑仁,1
郑相,郑相,1
郭代,郭代,1
都下佛寺,都下佛寺,1
都街肆恶,都街肆恶,1
鄯鄯之东,鄯鄯之东,1
酒杯藤,酒杯藤,1
醢石,醢石,1
释僧祗律,释僧祗律,1
释氏,释氏,1
释氏书,释氏书,1
野悉蜜,野悉蜜,1
野狐丝,野狐丝,1
野狐鼻涕,野狐鼻涕,1
金曾经,金曾经,1
金钱花,金钱花,1
釜石,釜石,1
铁镜,铁镜,1
铜匙草,铜匙草,1
铜神,铜神,1
铜马,铜马,1
铜驼,铜驼,1
锥,锥,1
镜石,镜石,1
阿勃参,阿勃参,1
阿驿,阿驿,1
阿魏,阿魏,1
陆盐,陆盐,1
陈朴,陈朴,1
陵州,陵州,1
雀,雀,1
雀芋,雀芋,1
雌雉,雌雉,1
雍益坚云,雍益坚云,1
雏鹆,雏鹆,1
雨木,雨木,1
雪,雪,1
雷蜞,雷蜞,1
青出,青出,1
青斑唐,青斑唐,1
青班,青班,1
青田核,青田核,1
青草槐,青草槐,1
韦行规自,韦行规自,1
颠当,颠当,1
风声木,风声木,1
飞鱼,飞鱼,1
香狸,香狸,1
马伏波,马伏波,1
马侍中,马侍中,1
马头鱼,马头鱼,1
驼,驼,1
骆宾王,骆宾王,1
骨利干国,骨利干国,1
高唐县,高唐县,1
高唐县鸣石山,高唐县鸣石山,1
高堂县南,高堂县南,1
高宗,高宗,1
高祖,高祖,1
鬼书,鬼书,1
鬼官,鬼官,1
鬼皂荚,鬼皂荚,1
鬼矢,鬼矢,1
鬼车鸟,鬼车鸟,1
魏使陆操,魏使陆操,1
魏明帝始造白马寺,魏明帝始造白马寺,1
魏胡后,魏胡后,1
魏韦英卒,魏韦英卒,1
鱼石,鱼石,1
鲎,鲎,1
鲛鱼,鲛鱼,1
鲤,鲤,1
鲵鱼,鲵鱼,1
鴘鹰荏子,鴘鹰荏子,1
鵴鸟,鵴鸟,1
鸢,鸢,1
鸭舌草,鸭舌草,1
鸽,鸽,1
鹅,鹅,1
鹊巢中必,鹊巢中必,1
鹦鹉,鹦鹉,1
鹰之雌雄,鹰之雌雄,1
鹰巢,鹰巢,1
鹲雕,鹲雕,1
鹳,鹳,1
鹳鹁,鹳鹁,1
鹿,鹿,1
麝衣登,麝衣登,1
黄儿,黄儿,1
黄杨木,黄杨木,1
黄色,黄色,1
黄鱼,黄鱼,1
黑皂鹂,黑皂鹂,1
黑绳,黑绳,1
黑绳地狱,黑绳地狱,1
鼓杖,鼓杖,1
鼠丸,鼠丸,1
齐暾树,齐暾树,1
齐王高洋,齐王高洋,1
齐王高纬,齐王高纬,1
齐郡接历山,齐郡接历山,1
齿,齿,1
龙王身光,龙王身光,1
龙脑香树,龙脑香树,1
