country,volume_index,volume_title,source,paragraph_id,related_subjects,text
东迦毕诚国,23,卷十·物异,卷十·物异-57,V23-P057,舍利,舍利，东迦毕诚国有𡨧堵波，舍利常见，如缀珠幡，循绕表树（一曰柱）。
乌仗那国,6,卷三·贝编,卷三·贝编-20,V06-P020,乌仗那国 | 佛,乌仗那国有佛迹，随人身福寿，量有长短。
交趾,1,卷一·忠志,卷一·忠志-16,V01-P016,交趾 | 宫 | 波斯 | 琵琶 | 瑞 | 观 | 龙 | 龙脑,天宝末，交趾贡龙脑，如蝉蚕形。波斯言老龙脑树节方有，禁中呼为瑞龙脑。上唯赐贵妃十枚，香气彻十馀步。上夏日尝与亲王棋，令贺怀智独弹琵琶，贵妃立于局前观之。上数子将输，贵妃放康国猧子于坐侧，猧子乃上局，局子乱，上大悦。时风吹贵妃领巾于贺怀智巾上，良久，回身方落。贺怀智归，觉满身香气非常，乃卸幞头贮于锦囊中。及二皇复宫阙，追思贵妃不已，怀智乃进所贮幞头，具奏它日事。上皇发囊，泣曰：「此瑞龙脑香也。」
交趾,31,卷十八·广动植之三,卷十八·广动植之三-43,V31-P043,交趾 | 交趾近,交趾近出贝多枝，弹材中第一。
仍建国,7,卷四·境异,卷四·境异-15,V07-P015,仍建国 | 鱼,仍建国，无井及河涧，所有种植，待雨而生。以紫矿泥地，承雨水用之。穿井即若海水，又咸。土俗潮落之后，平地为池，取鱼以作食。
伽古罗国,31,卷十八·广动植之三,卷十八·广动植之三-55,V31-P055,白豆蔻,白豆蔻，出伽古罗国，呼为多骨。形如芭焦，叶似杜若，长八九尺，冬夏不凋。花浅黄色，子作朵如蒲萄。其子初出微青，熟则变白，七月采。
俱位国,23,卷十·物异,卷十·物异-63,V23-P063,马,马，俱位国以马种莳，大食国马解人语。
俱德建国,23,卷十·物异,卷十·物异-65,V23-P065,波斯 | 铜马 | 马,铜马，俱德建国鸟浒河中滩派中有火祆祠，相传祆神本自波斯国乘神通来此，常见灵异，因立祆祠。内无象，于大屋下置大小炉，舍檐向西，人向东礼。有一铜马，大如次马，国人言自天下，屈前脚在空中而对神立，后脚入土。自古数有穿视者，深数十丈，竟不及其蹄。西域以五月为岁，每岁日，鸟浒河中有马出，其色如金，与此铜马嘶相应，俄复入水。近有大食王不信，入祆祠，将坏之，忽有火烧其兵，遂不敢毁。
俱振提国,23,卷十·物异,卷十·物异-68,V23-P068,神厨 | 鬼,神厨，俱振提国尚鬼神，城北隔真珠江二十里有神，春秋祠之。时国王所须什物金银器，神厨中自然而出，祠毕亦灭。天后使验之，不妄。
北天健驮罗国,6,卷三·贝编,卷三·贝编-22,V06-P022,佛 | 北天健驮罗国,北天健驮罗国有大堵波，佛悬记，七烧七立。佛方城，玄奘言城坏已三年。
北虏之先索国,29,卷十六·广动植之一,卷十六·广动植之一-55,V29-P055,北虏之先索国,北虏之先索国有泥师都，二妻生四子。一子化为鸿，遂委三子，谓曰：「尔可从古旃。」古旃，牛也。三子因随牛，牛所粪，悉成肉酪。太原县北有银牛山，汉建武二十一年，有人骑白牛蹊人田，田父诃诘之，乃曰：「吾北海使，将看天子登封。」遂乘牛上山。田父寻至山上，唯见牛迹，遗粪皆为银也。明年，世祖封禅。
古龟兹国,27,卷十四·诺皋记上,卷十四·诺皋记上-14,V27-P014,剑 | 古龟兹国 | 虎 | 龙 | 龟,古龟兹国王阿主儿者，有神异，力能降伏毒龙。时有贾人买市人金银宝货，至夜中，钱并化为炭。境内数百家皆失金宝。王有男先出家，成阿罗汉果。王问之，罗汉曰：「此龙所为。龙居北山，其头若虎，今在某处眠耳。」王乃易衣持剑默出。至龙所，见龙卧，将欲斩之，因曰：「吾斩寐龙，谁知吾有神力。」遂叱龙，龙惊起，化为狮子，王即乘其上。龙怒，作雷声，腾空至城北二十里。王谓龙曰：「尔不降，当断尔头。」龙惧王神力，乃作人语曰：「勿杀我，我当与王乘，欲有所向，随心即至。」王许之。后常乘龙而行。
吐蕃,14,卷六·器奇,卷六·器奇-1,V14-P001,李 | 虫 | 龙,开元中，河西骑将宋青春，骁果暴戾，为众所忌。及西戎岁犯边，青春每阵常运臂大呼，执馘而旋，未尝中锋镝。西戎惮之，一军始赖焉。后吐蕃大地获生口数千，军帅令译问衣大虫皮者：「尔何不能害青春？」答曰：「尝见青龙突阵而来，兵刃所及，若叩铜铁，我为神助将军也。」青春乃知钩之有灵。青春死后，钩为瓜州刺史李广琛所得，或风雨后，迸光出室，环烛方丈。哥舒镇西知之，求易以它宝，广琛不与，因赠诗：「刻舟寻化去，弹铗未酬恩。」
因墀国,7,卷四·境异,卷四·境异-29,V07-P029,,《王子年拾遗》言：汉武时，因墀国使南方，有解形之民，能先使头飞南海，左手飞东海，右手飞西泽。至暮，头还肩上。两手遇疾风，飘于海水外。
大食,7,卷四·境异,卷四·境异-17,V07-P017,弓 | 拨拔力国 | 波斯,拨拔力国，在西南海中，不食五谷，食肉而已。常针牛畜脉，取血和乳生食。无衣服，唯腰下用羊皮掩之。其妇人洁白端正，国人自掠卖与外国商人，其价数倍。土地唯有象牙及阿末香。波斯商人欲入此国，围集数千，人斋绁布，没老幼共刺血立誓，乃市其物。自古不属外国。战用象排、野牛角为槊，衣甲弓矢之器。步兵二十万。大食频讨袭之。
大食,23,卷十·物异,卷十·物异-62,V23-P062,人木,人木，大食西南二千里有国，山谷间树枝上化生人首，如花，不解语。人借问，笑而已，频笑辄落。
大食,23,卷十·物异,卷十·物异-63,V23-P063,马,马，俱位国以马种莳，大食国马解人语。
大食,23,卷十·物异,卷十·物异-65,V23-P065,波斯 | 铜马 | 马,铜马，俱德建国鸟浒河中滩派中有火祆祠，相传祆神本自波斯国乘神通来此，常见灵异，因立祆祠。内无象，于大屋下置大小炉，舍檐向西，人向东礼。有一铜马，大如次马，国人言自天下，屈前脚在空中而对神立，后脚入土。自古数有穿视者，深数十丈，竟不及其蹄。西域以五月为岁，每岁日，鸟浒河中有马出，其色如金，与此铜马嘶相应，俄复入水。近有大食王不信，入祆祠，将坏之，忽有火烧其兵，遂不敢毁。
大食,29,卷十六·广动植之一,卷十六·广动植之一-52,V29-P052,尸 | 猪 | 虎 | 马 | 龙,马，虏中护兰马，玉白马也，亦曰玉面谙真马，十三岁马也。以十三岁已下，可以留种。旧种马，戎马八尺，田马七尺，怒马六尺。瓜州饲马以草，沙州以茨萁，凉州以勃突浑，蜀以稗草。以萝卜根饲马，马肥。安比饲马以沙蓬根针。大食国马解人语。悉怛国、怛国出好马。马四岁，两齿。至二十岁，齿尽平。体名有输鼠、外凫、乌头、龙翅、虎口。猪槽饲马，石灰泥槽，汗而系门，三事落驹。回毛在颈，白马。黑马鞍下腋下回毛，右胁白毛，左右后足白。马四足黑，目下横毛；黄马白喙，旋毛在吻后，汗沟上通尾本，目赤睫乱及反睫；白马黑目，目白却视，并不可骑。夜眼名附蝉，尸肝名悬逢，亦曰鸡舌、绿衣失。方言以地黄、甘草啖五十岁，生三驹。
天竺,17,卷七·医,卷七·医-3,V17-P003,术 | 桑 | 箭 | 药 | 蛇,王玄荣俘中天竺王阿罗那顺以诣阙，兼得术士那罗迩（一有「娑」字）婆，言寿二百岁。太宗奇之，馆于金飙门内。造延年药，令兵部尚书崔敦礼监主之。言婆罗门国有药名畔茶人去水，出大山中石臼内，有七种色，或热或冷，能消草木金铁，人手入则消烂。若欲取水，以骆驼髑髅沉于石臼，取水转注瓠芦中。每有此水，则有石柱似人形守之。若彼山人传道此水者则死。又有药名沮赖罗，在高山石崖下。山腹中有石孔，孔前有树，状如桑树。孔中有大毒蛇守之。取以大方箭射枝叶，叶下便有乌鸟御之飞去，则众箭射乌而取其叶也。后死于长安。
天竺,24,卷十一·广知,卷十一·广知-14,V24-P014,兔 | 百体中 | 芝 | 虎 | 虫 | 钟 | 鱼 | 麒麟 | 鼓 | 龙,百体中有悬针书、垂露书、秦王破冢书、金鹊书、虎爪书、倒薤书、偃波书、信幡书、飞帛书、籀书、谬（一云缪）、篆书、制书、列书、日书、月书、风书、署书、虫食叶书、胡书、蓬书、天竺书、楷书、横书、芝英隶、钟隶、鼓隶、龙虎篆、麒麟篆、鱼篆、虫篆、乌篆、鼠篆、牛书、兔书、草书、龙草书、狼书、犬书、鸡书、震书、反左书、行押书、揖书、景书、半草书。
天竺,27,卷十四·诺皋记上,卷十四·诺皋记上-13,V27-P013,仙 | 虫 | 蛇 | 马 | 鬼 | 龙,《太真科经》说，有鬼仙，丙戌日鬼名{龙}生，丙午日鬼名挺农，乙卯日鬼名天陪，戊午日鬼名耳述，壬戌日鬼名，辛丑日鬼名，乙酉日鬼名聂左，丙辰日鬼名夭雄，辛卯日鬼名{棘心}，酉虫鬼名发廷，厕鬼名顼天竺（一曰笙）。语忘、敬遗，二鬼名，妇人临产呼之，不害人。长三寸三分，上下乌衣。马鬼名赐，蛇鬼名侠刂石圭（一曰{厘儿}），井鬼名琼，衣服鬼名甚僚。神荼、郁垒领万鬼。
天竺,27,卷十四·诺皋记上,卷十四·诺皋记上-15,V27-P015,剑 | 干陀国昔 | 马,乾陀国昔有王神勇多谋，号伽当（一曰「加色伽当」），讨袭诸国，所向悉降。至五天竺国，得上细二条，自留一，一与妃。妃因衣其谒王，当妃乳上有郁金香手印迹，王见惊恐，谓妃曰：「尔忽著此手迹之服，何也？」妃言：「向王所赐之。」王怒问藏臣，藏臣曰：「本有是，非臣之咎。」王追商者问之，商言：「南天竺国娑陀婆恨王，有宿愿，每年所赋细，并重迭积之，手染郁金柘于上，区划千万重手印悉透。丈夫衣之，手印当背。妇人衣之，手印当乳。」王令左右披之，皆如商者言。王因叩剑曰：「吾若不以剑裁娑陀婆恨王手足，无以寝食。」乃遣使就南天竺索娑陀婆恨王手足。使至其国，娑陀婆恨王与群臣绐报曰：「我国虽有王名娑陀婆恨，元无王也，但以金为王，设于殿上，凡统领教习，在臣下耳。」王遂起象马兵南讨其国。其国隐其王于地窟中，铸金人来迎。王知其伪，且自恃福力，因断金人手足，娑陀婆恨王于窟中，手足亦自落也。
天竺,30,卷十七·广动植之二,卷十七·广动植之二-67,V30-P067,虫 | 蝗 | 鱼,蝗，荆州有帛师，号法通，本安西人。少于东天竺出家，言蝗虫腹下有梵字，或白天下来者，乃忉利天梵天来者。西域验其字作木天坛法禳之。今蝗虫首有「王」字，固自不可晓。或言鱼子变，近之矣。旧言虫食谷者，部吏所致，侵渔百姓则虫食谷。虫身黑头赤，武吏也。头黑身赤，儒吏也。
天竺,31,卷十八·广动植之三,卷十八·广动植之三-48,V31-P048,僧提婆 | 波斯 | 阿魏,阿魏，出伽那国，即北天竺也。伽那呼为形虞。亦出波斯国，波斯国呼为阿虞截。树长八九丈，皮色青黄。三月生叶，叶似鼠耳，无花实。断其枝，汁出如饴，久乃坚凝，名阿魏。拂林国僧弯所说同。摩伽陀国僧提婆言，取其汁如米豆屑合成阿魏。
天竺,32,卷十九·广动植类之四,卷十九·广动植类之四-26,V32-P026,蜜草,蜜草，北天竺国出蜜草。蔓生，大叶秋冬不死，因重霜露，遂成蜜，如塞上蓬盐。
婆利,31,卷十八·广动植之三,卷十八·广动植之三-44,V31-P044,波斯 | 药 | 龙 | 龙脑 | 龙脑香树,龙脑香树，出婆利国，婆利呼为固不婆律。亦出波斯国。树高八九丈，大可六七围，叶圆而背白，无花实。其树有肥有瘦，瘦者有婆律膏香，一曰瘦者出龙脑香，肥者出婆律膏也。在木心中，断其树劈取之。膏于树端流出，斫树作坎而承之。入药用，别有法。
婆国,7,卷四·境异,卷四·境异-27,V07-P027,梵僧菩萨胜又 | 虫,梵僧菩萨胜又言：婆国中有飞头者，其人目无瞳子，聚落时有一人据。《于氏志怪》：南方落民，其头能飞。其俗所祠，名曰虫落，因号落民。
婆弥烂国,7,卷四·境异,卷四·境异-16,V07-P016,婆弥烂国 | 猿,婆弥烂国，去京师二万五千五百五十里。此国西有山，巉岩峻险。上多猿，猿形绝长大。常暴雨年，有二三十万。国中起春以后，屯集甲兵，与猿战。虽岁杀数万，不能尽其巢穴。
安国,6,卷三·贝编,卷三·贝编-44,V06-P044,佛 | 僧熟地 | 寺 | 殿 | 苏州 | 观 | 鱼,苏州贞元中有义师，状如风狂。有百姓起店十馀间，义师忽运斤坏其檐，禁之不止。其人素知其神，礼曰：「弟子活计赖此。」顾曰：「尔惜乎？」乃掷斤于地而去。其夜市火，唯义师所坏檐屋数间存焉。常止于废寺殿中，无冬夏常积火，坏幡木象悉火之。好活烧鲤鱼，不待熟而食。垢面不洗，洗之辄雨，吴中以为雨候。将死，饮灰汁数斛，乃念佛而坐，不复饮食，百姓日观之，坐七日而死。时盛暑，色不变，支不摧。安国寺僧熟地，常烧木佛，往往与人语，颇知宗要，寺僧亦不之测。
安息,31,卷十八·广动植之三,卷十八·广动植之三-45,V31-P045,安息香树 | 波斯,安息香树，出波斯国，波斯呼为辟邪。树长三丈，皮色黄黑，叶有四角，经寒不凋。二月开花，黄色，花心微碧，不结实。刻其树皮，其胶如饴，名安息香。六七月坚凝，乃取之。烧通神明，辟众恶。
康国,1,卷一·忠志,卷一·忠志-16,V01-P016,交趾 | 宫 | 波斯 | 琵琶 | 瑞 | 观 | 龙 | 龙脑,天宝末，交趾贡龙脑，如蝉蚕形。波斯言老龙脑树节方有，禁中呼为瑞龙脑。上唯赐贵妃十枚，香气彻十馀步。上夏日尝与亲王棋，令贺怀智独弹琵琶，贵妃立于局前观之。上数子将输，贵妃放康国猧子于坐侧，猧子乃上局，局子乱，上大悦。时风吹贵妃领巾于贺怀智巾上，良久，回身方落。贺怀智归，觉满身香气非常，乃卸幞头贮于锦囊中。及二皇复宫阙，追思贵妃不已，怀智乃进所贮幞头，具奏它日事。上皇发囊，泣曰：「此瑞龙脑香也。」
延陵昔聘上国,25,卷十二·语资,卷十二·语资-17,V25-P017,李 | 精 | 观 | 鞭 | 马,梁宴魏使李骞、崔︱，乐作，梁舍人贺季曰：「音声感人深也。」︱曰：「昔申喜听歌，怆然知是其母，理实精妙然也。」梁主客王克曰：「听音观俗，转是精者。」︱曰：「延陵昔聘上国，实有观风之美。」季曰：「卿发此言，乃欲挑战？」骞曰：「请执鞭弭，与君周旋。」季曰：「未敢三舍。」︱曰：「数奔之事，久已相谢。」季曰：「车乱旗靡，恐有所归。」︱曰：「平阴之役，先鸣已久。」克曰：「吾方欲馆谷而旌武功。」骞曰：「王夷师，将以谁属？」遂共大笑而止。乐欲讫，有马数十匹驰过，未有阉人，骞曰：「巷伯乃同趣马，讵非侵官？」季曰：「此乃貌似。」︱曰：「若植袁绍，恐不能免。」
悉怛国,29,卷十六·广动植之一,卷十六·广动植之一-52,V29-P052,尸 | 猪 | 虎 | 马 | 龙,马，虏中护兰马，玉白马也，亦曰玉面谙真马，十三岁马也。以十三岁已下，可以留种。旧种马，戎马八尺，田马七尺，怒马六尺。瓜州饲马以草，沙州以茨萁，凉州以勃突浑，蜀以稗草。以萝卜根饲马，马肥。安比饲马以沙蓬根针。大食国马解人语。悉怛国、怛国出好马。马四岁，两齿。至二十岁，齿尽平。体名有输鼠、外凫、乌头、龙翅、虎口。猪槽饲马，石灰泥槽，汗而系门，三事落驹。回毛在颈，白马。黑马鞍下腋下回毛，右胁白毛，左右后足白。马四足黑，目下横毛；黄马白喙，旋毛在吻后，汗沟上通尾本，目赤睫乱及反睫；白马黑目，目白却视，并不可骑。夜眼名附蝉，尸肝名悬逢，亦曰鸡舌、绿衣失。方言以地黄、甘草啖五十岁，生三驹。
悬渡国,7,卷四·境异,卷四·境异-24,V07-P024,乌耗西 | 猿,乌耗西有悬渡国，山溪不通，引绳而渡，朽索相引二千里。其土人佃于石间，垒石为室，接手而饮，所谓猿饮也。
憔侥国,23,卷十·物异,卷十·物异-81,V23-P081,人腊 | 李,人腊，李章武有人腊，长三寸馀，头项肋成就，云是憔侥国人。
扶支国,32,卷十九·广动植类之四,卷十九·广动植类之四-55,V32-P055,望舒草,望舒草，出扶支国。草红色，叶如莲叶，月出则舒，月没则卷。
拂林,7,卷四·境异,卷四·境异-13,V07-P013,波斯 | 酒,税波斯、拂林等国，米及草子酿于肉汁之中，经数日即变成酒，饮之可醉。
拂林,31,卷十八·广动植之三,卷十八·广动植之三-48,V31-P048,僧提婆 | 波斯 | 阿魏,阿魏，出伽那国，即北天竺也。伽那呼为形虞。亦出波斯国，波斯国呼为阿虞截。树长八九丈，皮色青黄。三月生叶，叶似鼠耳，无花实。断其枝，汁出如饴，久乃坚凝，名阿魏。拂林国僧弯所说同。摩伽陀国僧提婆言，取其汁如米豆屑合成阿魏。
拂林,31,卷十八·广动植之三,卷十八·广动植之三-49,V31-P049,婆那娑树 | 波斯,婆那娑树，出波斯国，亦出拂林，呼为阿。树长五六丈，皮色青绿，叶极光净，冬夏不凋。无花结实，其实从树茎出，大如冬瓜，有壳裹之，壳上有刺，瓤至甘甜，可食。核大如枣，一实有数百枚。核中仁如栗黄，炒食甚美。
拂林,31,卷十八·广动植之三,卷十八·广动植之三-52,V31-P052,波斯,穑树，出波斯国。亦出拂林国，拂林呼为群汉。树长三丈，围四五尺，叶似细榕，经寒不凋。花似橘，白色。子绿，大如酸枣，其味甜腻，可食。西域人压为油以涂身，可去风痒。
拂林,31,卷十八·广动植之三,卷十八·广动植之三-53,V31-P053,桃 | 汤 | 波斯 | 齐暾树,齐暾树，出波斯国。亦出拂林国，拂林呼为齐虚（音汤兮反）。树长二三丈，皮青白，花似柚，极芳香。子似杨桃，五月熟。西域人压为油以煮饼果，如中国之用巨胜也。
拂林,31,卷十八·广动植之三,卷十八·广动植之三-56,V31-P056,桑 | 荜拨,荜拨，出摩伽陀国，呼为荜拨梨，拂林国呼为阿梨诃他。苗长三四尺，茎细如箸。叶似戢叶。子似桑椹，八月采。
拂林,31,卷十八·广动植之三,卷十八·广动植之三-57,V31-P057,波斯 | 药,䭱齐，出波斯国。拂林呼为顸勃梨咃。长一丈馀，围一尺许。皮色青薄而极光净，叶似阿魏，每三叶生于条端，无花实。西域人常八月伐之，至腊月更抽新条，极滋茂。若不剪除，反枯死。七月断其枝，有黄汁，其状如蜜，微有香气。入药疗病。
拂林,31,卷十八·广动植之三,卷十八·广动植之三-58,V31-P058,波斯 | 波斯皂荚 | 药,波斯皂荚，出波斯国，呼为忽野檐默。拂林呼为阿梨去伐。树长三四丈，围四五尺，叶似构缘而短小，经寒不凋。不花而实，其荚长二尺，中有隔。隔内各有一子，大如指头，赤色，至坚硬，中黑如墨，甜如饴，可啖，亦入药用。
拂林,31,卷十八·广动植之三,卷十八·广动植之三-59,V31-P059,槐 | 没树 | 波斯,没树，出波斯国。拂林呼为阿糸差。长一丈许，皮青白色，叶似槐叶而长，花似橘花而大。子黑色，大如山茱萸，其味酸甜，可食。
拂林,31,卷十八·广动植之三,卷十八·广动植之三-60,V31-P060,阿勃参,阿勃参，出拂林国。长一丈馀，皮色青白。叶细，两两相对。花似蔓菁，正黄。子似胡椒，赤色。斫其枝，汁如油，以涂疥癣，无不瘥者。其油极贵，价重于金。
拂林,31,卷十八·广动植之三,卷十八·广动植之三-61,V31-P061,,柰只，出拂林国。苗长三四尺，根大如鸭卵。叶似蒜叶，中心抽条甚长。茎端有花六出，红白色，花心黄赤，不结子。其草冬生夏死，与荠麦相类。取其花压以为油，涂身，除风气。拂林国王及国内贵人皆用之。
拂林,31,卷十八·广动植之三,卷十八·广动植之三-62,V31-P062,波斯 | 野悉蜜,野悉蜜，出拂林国，亦出波斯国。苗长七八尺，叶似梅叶，四时敷荣。其花五出，白色，不结子。花若开时，遍野皆香，与岭南詹糖相类。西域人常采其花压以为油，甚香滑。
拂林,31,卷十八·广动植之三,卷十八·广动植之三-63,V31-P063,波斯 | 阿驿,阿驿，波斯国呼为阿ㄞ，拂林呼为底珍。树长丈四五，枝叶繁茂。叶有五出，似卑麻。无花而实，实赤色，类卑子，味似甘柿，一月一熟。
