paragraph_id,volume_title,monster_type,narrative_themes,theme_descriptions,keywords,text
V06-P124,卷三·贝编,神仙志怪,修道成仙,通过修炼得道成仙,佛,睿宗初生含凉殿，则天乃于殿内造佛氏，有玉像焉。及长，闲观其侧，玉像忽言：「尔后当为天子。」
V07-P129,卷四·境异,佛道灵异,祥瑞灾异、神灵传说,天降祥瑞或灾异的记录、关于神仙、民俗神灵的传说记载,神,突厥之先曰射摩舍利海神，神在阿史德窟西。射摩有神异，又海神女每日暮，以白鹿迎射摩入海，至明送出。经数十年。后部落将大猎，至夜中，海神谓射摩曰：「明日猎时，尔上代……
V07-P138,卷四·境异,佛道灵异,形体变化,身体形体的各种变化,妖、佛,孝亿国界周三千余里。在平川中，以木为栅，周十余里，栅内百姓二千余家。周国大栅五百余所。气候常暖，冬不凋落。宜羊马，无驼牛。俗性质直，好客侣。躯貌长大，褰鼻黄发，……
V07-P151,卷四·境异,神话异兽,僧尼异事、物怪变形,僧尼的奇异经历、无生命物体变形为怪物或精灵,怪、僧、菩萨,梵僧菩萨胜又言：闍婆国中有飞头者，其人目无瞳子，聚落时有一人据。《于氏志怪》：南方落民，其头能飞。其俗所祠，名曰虫落，因号落民。
V09-P158,卷四·祸兆,神仙志怪,鬼魂还阳、修道成仙,鬼魂返回阳间的故事、通过修炼得道成仙,佛、冥,杨慎矜兄弟富贵，常不自安。每诘朝礼佛像，默祈冥卫。或日，像前土榻上聚尘三堆，如冢状，慎矜恶之，且虑儿戏，命扫去。夕如初，寻而祸作。
V09-P159,卷四·祸兆,佛道灵异,妖魅惑人,妖魅运用魅惑之术迷惑凡人,怪,姜楚公常游禅定寺，京兆办局甚盛。及饮酒，座上一妓绝色，献杯整鬟，未尝见手，众怪之。有客被酒戏曰：「勿六指乎？」乃强牵视。妓随牵而倒，乃枯骸也。姜竟及祸焉。
V10-P166,卷四·物革,妖怪变形,人兽互变,人与兽之间的变形互变,僧、变,婺州僧清简，家园蔓菁，忽变为莲。
V11-P168,卷五·诡习,冥界报应,冥界游历、隐逸修行,进入冥界游历后返回的故事、隐逸修行的故事,变,于頔在襄州，尝有山人王固谒见于。于性快，见其拜伏迟缓，不甚知。书生别日游讌，不复得进，王殊怏怏。因至使院造判官曾叔政，颇礼接之。王谓曾曰：「子以相公好奇，故不远……
V12-P172,卷五·怪术,神仙志怪,僧尼异事、法术幻术,僧尼的奇异经历、使用法术或幻术的故事,僧、变、术士,大历中，荆州有术士从南来，止于陟屺寺，好酒，少有醒时。因寺中大斋会，人众数千，术士忽曰：「余有伎，可代抃瓦磕珠之欢也。」乃合彩色于器中，驔步抓目，徐祝数十言，方……
V12-P173,卷五·怪术,妖怪变形,佛教志异、迷路归返、形体变化,佛教相关的灵异事迹与志怪记载、迷路后经历奇遇最终返回、身体形体的各种变化,僧、变、袈裟、变化,张魏公在蜀时，有梵僧难陀，得如幻三昧，入水火，贯金石，变化无穷。初入蜀，与三少尼俱行，或大醉狂歌，戍将将断之。及僧至，且曰：「某寄迹桑门，别有乐术。」因指三尼：……
V12-P174,卷五·怪术,神仙志怪,僧尼异事,僧尼的奇异经历,僧、变、术士,虞部郎中陆绍，元和中，尝看表兄于定水寺，因为院僧具蜜饵时果，邻院僧右邀之。良久，僧与一李秀才偕至，乃环坐，笑语颇剧。院僧顾弟子煮新茗，巡将匝而不及李秀才，陆不平……
V12-P176,卷五·怪术,神仙志怪,法术幻术,使用法术或幻术的故事,符,蜀有费鸡师，目赤无黑睛，本濮人也。成式长庆初见之，已年七十余。或为人解灾，必用一鸡设祭于庭，又取江石如鸡卵，令疾者握之，乃踏步作气虚叱，鸡旋转而死，石亦四破。成……
V12-P177,卷五·怪术,神仙志怪,僧尼异事,僧尼的奇异经历,僧,长寿寺僧誓言他时在衡山，村人为毒蛇所噬，须臾而死，发解肿起尺余。其子曰：「昝老若在，何虑！」遂迎昝至。乃以灰围其尸，开四门，先曰：「若从足入，则不救矣。」遂踏步……
V12-P179,卷五·怪术,神仙志怪,灵物异迹,灵异物品、奇石异树、怪泉灵洞的记载,妖、佛、道,韩佽在桂州，有妖贼封盈，能为数里雾。先是常行野外，见黄蛱蝶数十，因逐之，至一大树下忽灭。掘之，得石函，素书大如臂，遂成左道。百姓归之如市，乃声言某日将收桂州，有……
V12-P180,卷五·怪术,神仙志怪,僧尼异事、法术幻术,僧尼的奇异经历、使用法术或幻术的故事,僧、道、变,海州司马韦敷曾往嘉兴，道遇释子希遁，深于缮生之术，又能用日辰，可代药石。见敷镊白，曰：「贫道为公择日拔之。」经五六日，僧请镊其半，及生，色若黳矣。凡三镊之，鬓不……
V12-P181,卷五·怪术,术法幻术,法术幻术,使用法术或幻术的故事,凤、符,众言石旻有奇术，在扬州，成式数年不隔旬与之相见，言事十不中。家人头痛嚏咳者，服其药，未尝效也。至开成初，在城亲故间，往往说石旻术不可测。盛传宝历中，石随钱徽尚书……
V12-P182,卷五·怪术,神仙志怪,法术幻术,使用法术或幻术的故事,术士,元和中，江淮术士王琼，尝在段君秀家，令坐客取瓦子，画作龟甲，怀之。食顷取出，乃龟。放于庭中，循垣而行，经宿却成瓦子。又取花含默，封于密器中，夕开花。
V12-P185,卷五·怪术,神仙志怪,佛法灵验、侠客义行,佛法感应、灵验显灵的故事、侠客、刺客的义行故事,神、咒,雍益坚云：「主夜神咒，持之有功德，夜行及寐，可已恐怖恶梦。咒曰‘婆珊婆演底’。」
V12-P186,卷五·怪术,神仙志怪,法术幻术,使用法术或幻术的故事,咒,宋居士说，掷骰子咒云「伊谛弥谛弥揭罗谛」，念满万遍，采随呼而成。
V12-P187,卷五·怪术,神仙志怪,修道成仙,通过修炼得道成仙,神、道、龙、天师,云安井，自大江沂别派，凡三十里。近井十五里，澄清如镜，舟楫无虞。近江十五里，皆滩石险恶，难于沿溯。天师翟乾祐，念商旅之劳，于汉城山上结坛考召，追命群龙。凡十四处……
V12-P188,卷五·怪术,神仙志怪,佛教志异、时间错位、僧尼异事,佛教相关的灵异事迹与志怪记载、经历与正常时间流速不同的情境、僧尼的奇异经历,怪、精、僧、道、天师、邢和璞,玄宗既召见行，谓曰：「师何能？」对曰：「惟善记览。」玄宗因诏掖庭取宫人籍以示之，周览既毕，覆其本，记念精熟，如素所习读。数幅之后，玄宗不觉降御榻，为之作礼，呼为……
V12-P189,卷五·怪术,神仙志怪,占卜预言,通过占卜进行预言的故事,精、术士,天宝末，术士钱知微，尝至洛，遂榜天津桥表柱卖卜，卦帛十疋。历旬，人皆不诣之。日，有贵公子意其必异，命取帛如数卜焉。钱命蓍布卦成，曰：「予筮可期一生，君何戏焉？」……
V13-P192,卷六·艺绝,神仙志怪,异物奇珍、隐逸修行,奇异物品和珍宝的记载、隐逸修行的故事,怪、咒,李叔詹常识范阳山人，停于私第，时语休咎必中，兼善推步禁咒。止半年，忽谓李曰：「某有艺，将去，欲以为别，所谓水画也。」乃请后厅上掘地为池，方丈，深尺余，泥以麻灰，……
V14-P194,卷六·器奇,尸解变化,尸解成仙,借助尸解或其他方式脱离肉体成仙,神、龙,开元中，河西骑将宋青春，骁果暴戾，为众所忌。及西戎岁犯边，青春每阵常运臂大呼，执馘而旋，未尝中锋镝。西戎惮之，一军始赖焉。后吐蕃大地获生口数千，军帅令译问衣大虫……
V14-P198,卷六·器奇,神仙志怪,因果报应、异物奇珍、奇人异能,善恶有报的因果故事、奇异物品和珍宝的记载、具有超常能力的人物,道、异人,高瑀在蔡州，有军将田知回易折欠数百万。回至外县，去州三百余里，高方令锢身勘田。忧迫，计无所出，其类因为设酒食开解之。坐客十余，中有称处士皇甫玄真者，衣白若鹅羽，……
V16-P215,卷七·酒食,神仙志怪,法术幻术、物怪变形,使用法术或幻术的故事、无生命物体变形为怪物或精灵,精、龙,猩唇、炙、翠、ㄐ腴、糜腱、述荡之、旄象之约、桂蝥、石鳆、河隈之稣、巩洛之鳟、洞庭之鲋、灌水之鲤、珠翠之珍、菜黄之鲐、鳖、炮羔、隽凫、臛、御宿青祭、瓜州红……
V17-P222,卷七·医,异域怪物,人兽互变、隐逸修行,人与兽之间的变形互变、隐逸修行的故事,道、术士,王玄荣俘中天竺王阿罗那顺以诣阙，兼得术士那罗迩婆，言寿二百岁。太宗奇之，馆于金飚门内。造延年药，令兵部尚书崔敦礼监主之。言婆罗门国有药名畔茶佉水，出大山中石臼内……
V18-P233,卷八·黥,梦兆占验,梦兆应验,梦中的预兆后来应验,鬼、佛,成式三从兄遘，贞元中，尝过黄坑。有从者拾髑颅骨数片，将为药，片上有「逃走奴」三字，痕如淡墨，方知黥踪入骨也。从者夜梦人，掩面从其索骨曰：「我羞甚，幸君为我深藏之……
V20-P258,卷八·梦,神仙志怪,鬼魂还阳、梦兆应验,鬼魂返回阳间的故事、梦中的预兆后来应验,鬼,魏杨元稹能解梦，广阳王元渊梦著衮衣倚槐树，问元稹。元稹言当得三公，退谓人曰：「死后得三公耳。槐字木傍鬼。」果为尔朱荣所杀，赠司徒。
V20-P261,卷八·梦,神仙志怪,梦兆应验,梦中的预兆后来应验,神、道、符,扬州东陵圣母庙王女道士康紫霞，自言少时梦中被人录于一处，言天符令摄将军巡南岳，遂擐以金锁甲，令骑道从千余人马，蹀虚南去。须臾至，岳神拜迎马前。梦中如有处分，岳中……
V20-P262,卷八·梦,冥界报应,冥界游历,进入冥界游历后返回的故事,,司农卿韦正贯应举时，尝至汝州，汝州刺史柳凌，留署军事判官。柳尝梦有人呈案，中言欠柴千七百束。因访韦解之，韦曰：「柴，薪木也。公将此不久乎？」月余，柳疾卒。素贫，……
V20-P263,卷八·梦,神仙志怪,占卜预言、隐逸修行,通过占卜进行预言的故事、隐逸修行的故事,妖、佛、道,道士秦霞霁，少勤香火，存想不怠。尝梦大树，树忽穴，有小儿青褶鬐发，自穴而出，语秦曰：「合土尊师。」因惊觉。自是休咎之事，小儿仿佛报焉。凡五年，秦意为妖。偶以事访……
V20-P264,卷八·梦,神仙志怪,占卜预言,通过占卜进行预言的故事,,蜀医昝殷言，藏气阴多则数梦，阳壮则少梦，梦亦不复记。《周礼》有掌占梦，又「以日月星辰各占六梦」，谓日有甲乙，月有建破，星辰有居直，星有扶刻也。又曰：「舍萌于四方……
V20-P265,卷八·梦,神仙志怪,佛法灵验,佛法感应、灵验显灵的故事,妖、怪、僧、道、魄,汉仪，大傩侲子辞，有伯奇食梦。道门言梦者魄妖，或谓三尸所为。释门言有四：一善恶种子，二四大偏增，三贤圣加持，四善恶徵祥。成式尝见僧首素言之，言出《藏经》，亦未暇……
V20-P266,卷八·梦,梦兆占验,梦兆应验,梦中的预兆后来应验,精,李铉著《李子正辩》，言至精之梦，则梦中身人可见。如刘幽求见妻，梦中身也，则知梦不可以事推矣。愚者少梦，不独至人，问之驺皂，百夕无梦也。
V20-P268,卷八·梦,神仙志怪,占卜预言,通过占卜进行预言的故事,,威远军小将梅伯成，以善占梦，近有优人李伯怜游泾州乞钱，得米百斛，及归，令弟取之，过期不至，昼梦洗白马，访伯成占之。伯成伫思曰：「凡人好反语，洗白马，泻白米也。君……
V20-P269,卷八·梦,神仙志怪,占卜预言,通过占卜进行预言的故事,道,"卜人徐道升言，江淮有王生者，榜言解梦。贾客张瞻将归，梦炊于臼中。问王生，生言：""君归不见妻矣，臼中炊，固无釜也。""贾客至家，妻果卒已数月，方知王生之言不诬矣。"
V20-P270,卷八·梦,神仙志怪,占卜预言,通过占卜进行预言的故事,魄,补阙杨子孙堇，善占梦。人梦松生产前，人梦枣生屋上，堇言：「松，丘垅间所植。枣字重来，重来呼魄之象。」二人俱卒。
V22-P277,卷九·盗侠,神话异兽,侠客义行,侠客、刺客的义行故事,神、鬼,或言刺客，飞天夜叉术也。韩晋公在浙西，时瓦官寺因商人无遮斋，众中有年少请弄阁，乃投盖而上，单练｛髟屈｝履膜皮，猿挂鸟跂，捷若神鬼。复建甖水于结脊下，先溜至檐，空……
V22-P280,卷九·盗侠,神仙志怪,占卜预言、侠客义行、忠孝节义,通过占卜进行预言的故事、侠客、刺客的义行故事、忠孝节义的伦理故事,道、龙,相传黎幹为京兆尹，时曲江淦龙祈雨，观者数千。黎至，独有老人植杖不避。幹怒，杖背二十，如击鞔革，掉臂而去。黎疑其非常人，命老坊卒寻之。至兰陵里之内，入小门，大言曰……
V22-P281,卷九·盗侠,神仙志怪,僧尼异事、法术幻术,僧尼的奇异经历、使用法术或幻术的故事,僧、道,建中初，士人韦生，移家汝州。中路逢僧，因与连镳，有论颇洽。日将衔山，僧指路谓曰：「此数里是贫道兰若，郎君岂不能左顾乎？」士人许之，因令家口先行。僧即处分步者先排……
V22-P282,卷九·盗侠,神仙志怪,修道成仙、侠客义行、隐逸修行,通过修炼得道成仙、侠客、刺客的义行故事、隐逸修行的故事,仙、道,元和中，江淮中唐山人者，涉猎史传。好道，常游名山。自言善缩锡，颇有师之者。后于楚州逆旅遇卢生，气相合。卢亦语及炉火，称唐族乃外氏，遂呼唐为舅。唐不能相舍，因邀同……
V23-P302,卷十·物异,神仙志怪,灵物异迹,灵异物品、奇石异树、怪泉灵洞的记载,精、龙,玉龙，梁大同八年，戍主杨光欣获玉龙枚，长尺二寸，高五寸，雕镂精妙，不似人作。腹中容斗余，颈亦空曲。置水中，令水满，倒之，水从口出，水声如琴瑟。水尽乃止。
V23-P306,卷十·物异,民俗神灵,神灵传说、异闻杂录、灵物异迹,关于神仙、民俗神灵的传说记载、古文叙事模式的超自然片段，以叙事标记词为特征、灵异物品、奇石异树、怪泉灵洞的记载,神、仙、魅,镜石，济南郡有方山，相传有奂生得仙于此。山南有明镜崖，石方三丈，魑魅行伏，了了然在镜中。南燕时，镜上遂使漆焉。俗言山神恶其照物，故漆之。
V23-P311,卷十·物异,神仙志怪,灵物异迹,灵异物品、奇石异树、怪泉灵洞的记载,神、变,铜神，衡阳唐安县东有略塘，塘有铜神。往往铜声激水，水为变绿作铜腥，鱼尽死。
V23-P337,卷十·物异,神仙志怪,僧尼异事,僧尼的奇异经历,僧、龙,旃檀鼓，于阗城东南有大河，溉国之田。忽然绝流，其国王问罗洪僧，言龙所为也。王乃祠龙，水中有女子，凌波而来，拜曰：「妾夫死，愿得大臣为夫，水当复旧。」有大臣请行，……
V23-P348,卷十·物异,异域怪物,异闻杂录,古文叙事模式的超自然片段，以叙事标记词为特征,神,铜马，俱德建国鸟浒河中滩派中有火祆祠，相传祆神本自波斯国乘神通来此，常见灵异，因立祆祠。内无象，于大屋下置大小炉，舍檐向西，人向东礼。有一铜马，大如次马，国人言……
V23-P351,卷十·物异,神仙志怪,鬼魂还阳,鬼魂返回阳间的故事,神、鬼,神厨，俱振提国尚鬼神，城北隔真珠江二十里有神，春秋祠之。时国王所须什物金银器，神厨中自然而出，祠毕亦灭。天后使验之，不妄。
V23-P355,卷十·物异,神仙志怪,修道成仙,通过修炼得道成仙,鬼,鬼矢，生阴湿地，浅黄白色。或时见之，主疮。
V23-P357,卷十·物异,神仙志怪,僧尼异事、修道成仙,僧尼的奇异经历、通过修炼得道成仙,僧、道,壁影，高邮县有寺，不记名，讲堂西壁枕道。每日晚，人马车舆影悉透壁上，衣红紫者，影中卤莽可辨。壁厚数尺，难以理究。辰午之时则无。相传如此二十余年矣，或年半年不见。……
V23-P366,卷十·物异,神仙志怪,梦兆应验、神灵传说,梦中的预兆后来应验、关于神仙、民俗神灵的传说记载,神、仙,上清珠，肃宗为儿时，常为玄宗所器。每坐于前，熟视其貌，谓武惠妃曰：「此儿甚有异相，他日亦吾家有福天子。」因命取上清玉珠，以绛纱裹之，系于颈。是开元中罽宾国所贡，……
V23-P368,卷十·物异,神仙志怪,鬼魂还阳、物怪变形,鬼魂返回阳间的故事、无生命物体变形为怪物或精灵,精、道,虞乡有山观，甚幽寂，有涤阳道士居焉。太和中，道士尝夕独登坛，望见庭內忽有异光，自井泉中发。俄有物，状若兔，其色若精金，随光而出，环绕醮坛。久之，复入于井。自是每……
V24-P378,卷十一·广知,民俗神灵,异物奇珍,奇异物品和珍宝的记载,神、龙,身神及诸神名异者，脑神曰觉元，发神曰玄华，目神曰虚监，血神曰冲龙王，舌神曰始梁。
V24-P379,卷十一·广知,神仙志怪,修道成仙,通过修炼得道成仙,神、道,夫学道之人，须鸣天鼓以召众神也。左相叩为天钟，卒遇凶恶不祥叩之。右相为天磬，若经山泽邪僻威神大祝叩之。中央上下相叩名天鼓，存思念当道鸣之。叩之数三十六，或三十二……
V24-P381,卷十一·广知,神仙志怪,占卜预言,通过占卜进行预言的故事,鬼,二目不同，连鳞白鬐，腹下丹字，并杀人。鳖目白，腹下五字、卜字者不可食。蟹腹下有毛，杀人。蛇以桑柴烧之，则见足出。兽歧尾，鹿斑如豹，羊心有窍，悉害人。马夜眼，五月……
V24-P383,卷十一·广知,异域怪物,其他超自然,无法归入具体叙事主题的超自然段落（兜底类别）,龙、麒麟,百体中有悬针书、垂露书、秦王破冢书、金鹊书、虎爪书、倒薤书、偃波书、信幡书、飞帛书、籀书、谬、篆书、制书、列书、日书、月书、风书、署书、虫食叶书、胡书、蓬书、天……
V24-P388,卷十一·广知,神仙志怪,侠客义行,侠客、刺客的义行故事,怪、道,历城北二里有莲子湖，周环二十里。湖中多莲花，红绿间明，乍疑濯锦。又渔船掩映，罟罾疏布，远望之者，若蛛网浮枉也。魏袁翻曾在湖醼集，参军张伯瑜谘公，言：「向为血羹，……
V24-P392,卷十一·广知,神仙志怪,鬼魂还阳、僧尼异事,鬼魂返回阳间的故事、僧尼的奇异经历,鬼、僧,荆州陟屺寺僧那照善射，每言光长而摇者鹿，帖地而明灭者兔，低而不动者虎。又言，夜格虎时，必见三虎并来，挟者虎威，当刺其中者。虎死威乃入地，得之可却百邪。虎初死，记……
V24-P394,卷十一·广知,神仙志怪,鬼魂还阳、修道成仙,鬼魂返回阳间的故事、通过修炼得道成仙,神、道、魄,道士郭采真言，人影数至九。成式常试之，至六七而已，外乱莫能辨，郭言渐益炬则可别。又说九影各有名，影神：一名右皇，二名魍魉，三名泄节枢，四名尺凫，五名索关，六名魄……
V24-P396,卷十一·广知,佛道灵异,佛法灵验、隐逸修行,佛法感应、灵验显灵的故事、隐逸修行的故事,神、佛、凤、符,都下佛寺往往有神鸟雀不污者，凤翔山人张盈善飞化甲子，言或有佛寺金刚鸟不集者，非其灵验也，盖由取土处及塑像时，偶与日辰王相相符也。
V24-P399,卷十一·广知,神仙志怪,鬼魂还阳、隐逸修行,鬼魂返回阳间的故事、隐逸修行的故事,鬼、魅、道、符,李洪山人，善符籙，博知，常谓成式：「瓷瓦器璺者可以弃，昔遇道，言雷蛊及鬼魅多遁其中。」
V24-P400,卷十一·广知,佛道灵异,鬼魂还阳、僧尼异事,鬼魂返回阳间的故事、僧尼的奇异经历,神、鬼、佛、僧、菩萨,近佛画中有天藏菩萨、地藏菩萨，近明谛观之，规彩铄目，若放光也。或言以曾青和壁鱼设色，则近目有光。又往往壁画僧及神鬼，目随人转，点眸子极正则尔。
V24-P402,卷十一·广知,神仙志怪,鬼魂还阳、僧尼异事,鬼魂返回阳间的故事、僧尼的奇异经历,僧,慈恩寺僧广升言，贞元末，阆州僧灵鉴善弹。其弹丸方，用洞庭沙岸下，土三斤，炭末三两，瓷末两，榆皮半两，泔淀二勺，紫矿二两，细沙三分，藤纸五张，渴搨汁半合，九味和捣……
V25-P409,卷十二·语资,尸解变化,僧尼异事、法术幻术,僧尼的奇异经历、使用法术或幻术的故事,怪、僧,宁王常猎于鄠县界，搜林，忽见草中柜，扃锁甚固。王命发视之，乃少女也。问其所自，女言：「姓莫氏，叔伯庄居。昨夜遇光火贼，贼中二人是僧，因劫某至此。」动婉含颦，冶态……
V25-P411,卷十二·语资,神仙志怪,其他超自然,无法归入具体叙事主题的超自然段落（兜底类别）,龙、凤,晋罗什与人棋，拾敌死子，空处如龙凤形。或言王积薪对玄宗棋局毕，悉持出。
V25-P412,卷十二·语资,神仙志怪,物怪变形、异物奇珍,无生命物体变形为怪物或精灵、奇异物品和珍宝的记载,怪、道,黄儿，矮陋机惠，玄宗常凭之行。问外间事，动有锡赍。号曰肉杌。一日入迟，上怪之，对曰：「今日雨淖，向逢捕贼官与臣争道，臣掀之坠马。」因下阶叩头。上曰：「外无奏，汝……
V25-P413,卷十二·语资,神仙志怪,其他超自然,无法归入具体叙事主题的超自然段落（兜底类别）,凤,历城房家园，齐博陵君豹之山池。其中杂树森竦，泉石崇邃，历中袚褉之胜也。曾有人折其桐枝者，公曰：「何谓伤吾凤条。」自后人不复敢折。公语参军尹孝逸曰：「昔季伦金谷山……
V25-P425,卷十二·语资,神仙志怪,僧尼异事、佛教志异,僧尼的奇异经历、佛教相关的灵异事迹与志怪记载,怪、僧、道、符,大历末，禅师玄览住荆州陟屺寺，道高有风韵，人不可得而亲。张璪常画古松于斋壁，符载赞之，卫象诗之，亦时三绝，览悉加垩焉。人问其故，曰：「无事疥吾壁也。」僧那即其甥……
V26-P430,卷十三·冥迹,妖怪变形,人兽互变,人与兽之间的变形互变,变,魏韦英卒后，妻梁氏嫁向子集。嫁日，英归至庭，呼曰：「阿梁，卿忘我耶？」子集惊，张弓射之，即变为桃人茅马。
V26-P431,卷十三·冥迹,神仙志怪,僧尼异事、法术幻术,僧尼的奇异经历、使用法术或幻术的故事,僧、符,长白山西有夫人墓，魏孝昭之世，搜扬天下才俊，清河崔罗什，弱冠有令望，被徵诣州，夜经于此。忽见朱门粉壁，楼台相望。俄有青衣出，语什曰：「女郎须见崔郎。」什怳然下马……
V26-P432,卷十三·冥迹,神仙志怪,佛法灵验,佛法感应、灵验显灵的故事,神、鬼、狐、冥,南巨川常识判冥者张叔言，因撰《续神异记》，具载其灵验。叔言判冥鬼十人，十人数内，两人是妇人。又乌龟狐亦判冥。
V26-P434,卷十三·冥迹,神仙志怪,鬼魂还阳,鬼魂返回阳间的故事,怪、魂,顾况丧子，年十七。其子魂游，恍惚如梦，不离其家。顾悲伤不已，因作诗，吟之且哭。诗云：「老人丧其子，日暮泣成血。老人年七十，不作多时别。」其子听之感恸，因自誓：「……
X27-P442,续·尸穸,神仙志怪,鬼魂还阳,鬼魂返回阳间的故事,鬼、魂,世人死者有作伎乐，名为乐丧。魌头，所以存亡者之魂气也。名苏衣被，苏苏如也。曰狂阻，一曰触圹。四目曰方相，两目曰。据费长房识李娥药丸，谓之方相脑，则方相或鬼物也，……
X27-P444,续·尸穸,神仙志怪,鬼魂还阳,鬼魂返回阳间的故事,魂,亡人坐上作魂衣，谓之上天衣。
X27-P446,续·尸穸,神仙志怪,忠孝节义,忠孝节义的伦理故事,鬼,褮，鬼衣也。桐人起虞卿，明衣起左伯桃，挽歌起绋讴。故旧律发冢弃市，冢者重也，言为孝子所重，发一蠒土则坐，不须物也。
X27-P449,续·尸穸,神仙志怪,修道成仙,通过修炼得道成仙,道,昔秦时陈仓人，猎得兽若彘而不知名。道逢二童子，曰：「此名弗述，常在地中食死人脑。欲杀之，当以柏插其首。」
X27-P451,续·尸穸,神仙志怪,其他超自然,无法归入具体叙事主题的超自然段落（兜底类别）,狐,汉平陵王墓，墓多狐。狐自穴出者，皆毛上坌灰。
X27-P452,续·尸穸,神仙志怪,其他超自然,无法归入具体叙事主题的超自然段落（兜底类别）,狐,魏未有人至狐穴前，得金刀镊、玉唾壶。
X27-P454,续·尸穸,神仙志怪,鬼魂还阳、僧尼异事,鬼魂返回阳间的故事、僧尼的奇异经历,鬼,元魏时，菩提寺增多发冢取砖，得人，自言姓崔名涵，字子洪，在地下十二年，如醉人，时复游行，不甚辨了。畏日及水火兵刃。常走，疲极则止。洛阳奉洛里多卖送死之具，涵言：……
X27-P458,续·尸穸,冥界报应,冥界游历,进入冥界游历后返回的故事,怪,"刘晏判官李邈，庄在高陵，庄客悬欠租课，积五六年。邈因官罢归庄，方欲勘责，见仓库盈羡，输尚未毕。邈怪问，悉曰：""某作端公庄客二三年矣，久为盗。近开古冢，冢西去庄十……"
X27-P461,续·尸穸,神仙志怪,异闻杂录,古文叙事模式的超自然片段，以叙事标记词为特征,怪,永泰初，有王生者，住在扬州孝感寺北。夏月被酒，手垂于床。其妻恐风射，将举之。忽有巨手出于床前，牵王臂坠床，身渐入地。其妻与奴婢共曳之，不禁地如裂状，初余衣带，顷……
X27-P464,续·尸穸,神仙志怪,僧尼异事、物怪变形,僧尼的奇异经历、无生命物体变形为怪物或精灵,怪、僧,医僧行儒说，福州有弘济上人，斋戒清苦，常于沙岸得一颅骨，遂贮衣篮中归寺。数日，忽眠中有物啮其耳，以手拨之落，声如数升物，疑其颅骨所为也。及明，果坠在床下，遂破为……
V28-P466,卷十四·诺皋记上,妖怪变形,鬼魂还阳、形体变化,鬼魂返回阳间的故事、身体形体的各种变化,神、鬼、怪、道、变、魂、巫、变化,夫度朔司刑，可以知其情状；葆登掌祀，将以著于感通。有生尽幻，游魂为变。乃圣人定璇玑之式，立巫祝之官，考乎十辉之祥，正乎九黎之乱。当有道之日，鬼不伤人；在观德之时……
V28-P467,卷十四·诺皋记上,神仙志怪,其他超自然,无法归入具体叙事主题的超自然段落（兜底类别）,神、巫,昆仑之墟，帝之下都，百神所在也。大荒中有灵山，有十巫，曰咸、即、盼、彭、姑、真、礼、抵、谢、罗，从此升降。
